accented f0
accented_syls_from_phrase_end f1
accented_syls_from_phrase_start f2
breakindex f3
edge f4
next_accent f5
next_is_pause f6
next_punctuation f7
next_stressed f8
next_tobi_accent f9
next_tobi_endtone f10
nextnext_tobi_accent f11
nextnext_tobi_endtone f12
onsetcoda f13
phrase_endtone f14
phrase_numsyls f15
phrase_numwords f16
phrases_from_sentence_end f17
phrases_from_sentence_start f18
pos_in_syl f19
position_type f20
prev_accent f21
prev_is_pause f22
prev_phrase_endtone f23
prev_punctuation f24
prev_stressed f25
prev_syl_break f26
segs_from_syl_end f27
segs_from_syl_start f28
segs_from_word_end f29
segs_from_word_start f30
selection_prosody f31
sentence_numphrases f32
sentence_numwords f33
sentence_punc f34
stressed f35
stressed_syls_from_phrase_end f36
stressed_syls_from_phrase_start f37
style f38
syl_break f39
syl_numsegs f40
syls_from_phrase_end f41
syls_from_phrase_start f42
syls_from_prev_accent f43
syls_from_prev_stressed f44
syls_from_word_end f45
syls_from_word_start f46
syls_to_next_accent f47
syls_to_next_stressed f48
tobi_accent f49
tobi_endtone f50
word_numsegs f51
word_numsyls f52
words_from_phrase_end f53
words_from_phrase_start f54
words_from_prev_punctuation f55
words_from_sentence_end f56
words_from_sentence_start f57
words_to_next_punctuation f58
